# DTStamp_FHdata_calc_intgr_error (integration error) 2023-06-03 17:20:56 456733145 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 0.069  0.003273407  0.000047758 -0.486200 -0.489404  0.689860  0.009997965  0.009997965  0.000000000  0.699858882  0.699858883 -0.000000002  0.000000121361   102.978554 
 0.070  0.003321166  0.000047767 -0.493222 -0.496520  0.699858  0.009997964  0.009997964  0.000000000  0.709856846  0.709856847 -0.000000001  0.000000121414   102.934058 
 0.071  0.003368933  0.000047776 -0.500244 -0.503637  0.709855  0.009997963  0.009997963 -0.000000000  0.719854809  0.719854811 -0.000000002  0.000000121466   102.889569 
 0.072  0.003416709  0.000047786 -0.507265 -0.510755  0.719853  0.009997962  0.009997963 -0.000000000  0.729852771  0.729852773 -0.000000002  0.000000121519   102.845087 
 0.073  0.003464495  0.000047795 -0.514286 -0.517874  0.729851  0.009997962  0.009997962 -0.000000000  0.739850733  0.739850736 -0.000000002  0.000000121571   102.800613 
 0.074  0.003512290  0.000047804 -0.521305 -0.524993  0.739849  0.009997962  0.009997962  0.000000000  0.749848695  0.749848697 -0.000000002  0.000000121624   102.756146 
 0.075  0.003560094  0.000047813 -0.528324 -0.532113  0.749847  0.009997961  0.009997961  0.000000000  0.759846657  0.759846658 -0.000000002  0.000000121677   102.711686 
 0.076  0.003607907  0.000047822 -0.535343 -0.539234  0.759845  0.009997961  0.009997961  0.000000000  0.769844617  0.769844619 -0.000000002  0.000000121729   102.667233 
 0.077  0.003655730  0.000047832 -0.542360 -0.546355  0.769843  0.009997960  0.009997960 -0.000000000  0.779842577  0.779842579 -0.000000002  0.000000121782   102.622788 
 0.078  0.003703561  0.000047841 -0.549377 -0.553477  0.779841  0.009997959  0.009997959 -0.000000000  0.789840536  0.789840538 -0.000000002  0.000000121835   102.578349 
